Date,Description,Debit,Credit
2026-01-07,Grocery Store - Trader Joes,68.42,
2026-01-07,Gas Station Shell,42.15,
2026-01-08,Coffee Bean Cafe,5.25,
2026-01-09,Netflix Subscription,15.99,
2026-01-10,Verizon Wireless,58.00,
2026-01-12,Amazon.com Purchase,89.99,
2026-01-13,Paycheck - Acme Corp,,2450.00
2026-01-14,Rent Payment - Sunset Apartments,1450.00,
2026-01-15,Electric Company,102.34,
2026-01-16,Internet - Comcast,64.99,
2026-01-17,Chipotle Mexican Grill,14.50,
2026-01-18,Planet Fitness Membership,39.99,
2026-01-19,Grocery Store - Whole Foods,94.20,
2026-01-21,Uber Ride,18.75,
2026-01-22,CVS Pharmacy,23.10,
2026-01-24,Petco Pet Supplies,45.60,
2026-01-25,Gas Station Chevron,39.80,
2026-01-27,Paycheck - Acme Corp,,2450.00
2026-01-28,Coffee Bean Cafe,4.75,
2026-01-29,Restaurant - Olive Garden,58.30,
2026-01-30,State Farm Insurance,112.00,
2026-02-01,Grocery Store - Trader Joes,71.15,
2026-02-02,Gas Station Shell,44.20,
2026-02-03,Netflix Subscription,15.99,
2026-02-05,Verizon Wireless,58.00,
2026-02-06,Coffee Bean Cafe,5.10,
2026-02-08,Rent Payment - Sunset Apartments,1450.00,
2026-02-09,Electric Company,118.60,
2026-02-10,Paycheck - Acme Corp,,2450.00
2026-02-11,Internet - Comcast,64.99,
2026-02-12,IRS Tax Refund,,890.00
2026-02-13,Amazon.com Purchase,142.33,
2026-02-14,Restaurant - Cheesecake Factory,72.40,
2026-02-16,Grocery Store - Whole Foods,88.75,
2026-02-17,Planet Fitness Membership,39.99,
2026-02-19,Gas Station Chevron,41.55,
2026-02-21,CVS Pharmacy,17.85,
2026-02-24,Paycheck - Acme Corp,,2450.00
2026-02-25,Coffee Bean Cafe,4.95,
2026-02-27,State Farm Insurance,112.00,
2026-02-28,Charity Donation - Red Cross,50.00,
2026-03-01,Grocery Store - Trader Joes,76.40,
2026-03-02,Gas Station Shell,45.30,
2026-03-03,Netflix Subscription,15.99,
2026-03-05,Verizon Wireless,58.00,
2026-03-06,Rent Payment - Sunset Apartments,1450.00,
2026-03-07,Electric Company,95.20,
2026-03-09,Paycheck - Acme Corp,,2450.00
2026-03-10,Internet - Comcast,64.99,
2026-03-11,Midas Auto Repair,285.00,
2026-03-12,Coffee Bean Cafe,5.50,
2026-03-14,Grocery Store - Whole Foods,102.10,
2026-03-15,Chipotle Mexican Grill,16.20,
2026-03-17,Planet Fitness Membership,39.99,
2026-03-18,Freelance Payment - Design Client,,600.00
2026-03-20,Gas Station Chevron,43.10,
2026-03-23,Paycheck - Acme Corp,,2450.00
2026-03-24,Amazon.com Purchase,54.99,
2026-03-26,CVS Pharmacy,29.40,
2026-03-27,State Farm Insurance,112.00,
2026-03-29,Restaurant - Olive Garden,64.75,
2026-04-01,Grocery Store - Trader Joes,69.85,
2026-04-02,Gas Station Shell,46.75,
2026-04-03,Netflix Subscription,15.99,
2026-04-05,Verizon Wireless,58.00,
2026-04-06,Rent Payment - Sunset Apartments,1450.00,
2026-04-07,Electric Company,88.40,
2026-04-08,Paycheck - Acme Corp,,2450.00
2026-04-09,Internet - Comcast,64.99,
2026-04-11,Delta Airlines,412.50,
2026-04-11,Marriott Hotel,356.00,
2026-04-12,Coffee Bean Cafe,5.00,
2026-04-14,Grocery Store - Whole Foods,91.60,
2026-04-15,Planet Fitness Membership,39.99,
2026-04-17,Gas Station Chevron,40.20,
2026-04-19,Restaurant - Cheesecake Factory,68.90,
2026-04-22,Paycheck - Acme Corp,,2450.00
2026-04-23,Amazon.com Purchase,76.45,
2026-04-25,CVS Pharmacy,21.30,
2026-04-27,State Farm Insurance,112.00,
2026-04-29,Petco Pet Supplies,38.20,
2026-05-01,Grocery Store - Trader Joes,72.90,
2026-05-02,Gas Station Shell,43.65,
2026-05-03,Netflix Subscription,15.99,
2026-05-05,Verizon Wireless,58.00,
2026-05-06,Rent Payment - Sunset Apartments,1450.00,
2026-05-07,Electric Company,105.10,
2026-05-08,Paycheck - Acme Corp,,2450.00
2026-05-09,Internet - Comcast,64.99,
2026-05-11,Coffee Bean Cafe,5.35,
2026-05-13,Grocery Store - Whole Foods,96.40,
2026-05-14,Chipotle Mexican Grill,15.80,
2026-05-16,Planet Fitness Membership,39.99,
2026-05-18,Gas Station Chevron,42.90,
2026-05-20,Best Buy Electronics,229.99,
2026-05-22,Paycheck - Acme Corp,,2450.00
2026-05-23,Restaurant - Olive Garden,55.60,
2026-05-25,CVS Pharmacy,19.75,
2026-05-27,State Farm Insurance,112.00,
2026-05-29,Transfer to Savings Account,500.00,
2026-05-29,Transfer from Checking Account,,500.00
2026-06-01,Grocery Store - Trader Joes,74.10,
2026-06-02,Gas Station Shell,44.85,
2026-06-03,Netflix Subscription,15.99,
2026-06-05,Verizon Wireless,58.00,
2026-06-06,Rent Payment - Sunset Apartments,1450.00,
2026-06-07,Electric Company,132.75,
2026-06-08,Paycheck - Acme Corp,,2450.00
2026-06-09,Internet - Comcast,64.99,
2026-06-10,Annual Bonus - Acme Corp,,1200.00
2026-06-11,Jiffy Lube Oil Change,64.50,
2026-06-12,Coffee Bean Cafe,4.80,
2026-06-14,Grocery Store - Whole Foods,89.30,
2026-06-16,Planet Fitness Membership,39.99,
2026-06-18,Gas Station Chevron,41.20,
2026-06-19,Restaurant - Cheesecake Factory,74.15,
2026-06-22,Paycheck - Acme Corp,,2450.00
2026-06-24,Amazon.com Purchase,63.28,
2026-06-25,CVS Pharmacy,25.60,
2026-06-27,State Farm Insurance,112.00,
2026-06-29,Freelance Payment - Design Client,,450.00
2026-06-30,Charity Donation - Red Cross,50.00,
2026-07-01,Grocery Store - Trader Joes,70.25,
2026-07-02,Gas Station Shell,45.40,
2026-07-03,Netflix Subscription,15.99,
2026-07-05,Verizon Wireless,58.00,
2026-07-06,Rent Payment - Sunset Apartments,1450.00,
2026-07-06,Paycheck - Acme Corp,,2450.00
2026-07-07,Coffee Bean Cafe,5.15,
